/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=58.19 sam=61.92 samrand=61.92
[20] pix=47.01 sam=50.92 samrand=50.92
[30] pix=45.09 sam=49.05 samrand=49.05
[40] pix=47.29 sam=53.24 samrand=53.24
[50] pix=50.64 sam=56.91 samrand=56.91
[60] pix=51.38 sam=57.92 samrand=57.92
[70] pix=53.83 sam=59.74 samrand=59.74
[80] pix=53.65 sam=57.82 samrand=57.82
[90] pix=52.86 sam=56.76 samrand=56.76
[100] pix=52.85 sam=56.63 samrand=56.63
[110] pix=52.71 sam=56.63 samrand=56.63
[120] pix=52.74 sam=56.42 samrand=56.42
[130] pix=53.13 sam=56.95 samrand=56.95
[140] pix=53.00 sam=56.67 samrand=56.67
[150] pix=53.47 sam=57.30 samrand=57.30
[160] pix=53.69 sam=57.60 samrand=57.60
[170] pix=53.37 sam=57.23 samrand=57.23
[180] pix=53.74 sam=57.57 samrand=57.57
[190] pix=54.04 sam=57.80 samrand=57.80
[200] pix=54.09 sam=58.00 samrand=58.00
[210] pix=53.79 sam=57.14 samrand=57.14
[220] pix=53.76 sam=57.07 samrand=57.07
[230] pix=53.76 sam=57.01 samrand=57.01
[240] pix=53.98 sam=57.39 samrand=57.39
[250] pix=54.11 sam=57.57 samrand=57.57
[260] pix=53.91 sam=57.43 samrand=57.43
[270] pix=54.43 sam=57.98 samrand=57.98
[280] pix=54.23 sam=57.74 samrand=57.74
[290] pix=53.71 sam=56.96 samrand=56.96
[300] pix=53.58 sam=56.84 samrand=56.84
[310] pix=53.43 sam=56.68 samrand=56.68
[320] pix=53.64 sam=56.89 samrand=56.89
[330] pix=53.88 sam=57.39 samrand=57.39
[340] pix=54.10 sam=57.80 samrand=57.80
[350] pix=54.06 sam=57.77 samrand=57.77
[360] pix=53.88 sam=57.59 samrand=57.59
[370] pix=53.99 sam=57.67 samrand=57.67
[380] pix=54.08 sam=57.63 samrand=57.63
[390] pix=54.50 sam=58.22 samrand=58.22
[400] pix=54.69 sam=58.49 samrand=58.49
[410] pix=54.52 sam=58.27 samrand=58.27
[420] pix=54.21 sam=57.82 samrand=57.82
[430] pix=54.60 sam=58.27 samrand=58.27
[440] pix=55.06 sam=58.71 samrand=58.71
[450] pix=54.95 sam=58.71 samrand=58.71
[460] pix=54.62 sam=58.36 samrand=58.36
[470] pix=54.49 sam=58.24 samrand=58.24
[480] pix=54.58 sam=58.34 samrand=58.34
[490] pix=54.60 sam=58.40 samrand=58.40
[500] pix=54.59 sam=58.36 samrand=58.36
[510] pix=54.62 sam=58.57 samrand=58.57
[520] pix=54.82 sam=58.75 samrand=58.75
[530] pix=55.10 sam=59.01 samrand=59.01
[540] pix=55.09 sam=58.99 samrand=58.99
[550] pix=55.12 sam=59.09 samrand=59.09
[560] pix=55.12 sam=59.04 samrand=59.04
[570] pix=55.13 sam=59.13 samrand=59.13
[580] pix=55.18 sam=59.22 samrand=59.22
[590] pix=55.46 sam=59.51 samrand=59.51
[600] pix=55.43 sam=59.52 samrand=59.52
[610] pix=55.45 sam=59.48 samrand=59.48
[620] pix=55.31 sam=59.39 samrand=59.39
[630] pix=55.31 sam=59.41 samrand=59.41
[640] pix=55.43 sam=59.54 samrand=59.54
[650] pix=55.46 sam=59.56 samrand=59.56
[660] pix=55.09 sam=59.14 samrand=59.14
[670] pix=55.04 sam=59.14 samrand=59.14
[680] pix=55.31 sam=59.47 samrand=59.47
[690] pix=55.36 sam=59.52 samrand=59.52
[700] pix=55.38 sam=59.62 samrand=59.62
[710] pix=55.47 sam=59.75 samrand=59.75
[720] pix=55.47 sam=59.75 samrand=59.75
[730] pix=55.29 sam=59.56 samrand=59.56
[740] pix=55.28 sam=59.53 samrand=59.53
[750] pix=55.45 sam=59.64 samrand=59.64
[760] pix=55.41 sam=59.38 samrand=59.38
[770] pix=55.30 sam=59.28 samrand=59.28
[780] pix=55.28 sam=59.33 samrand=59.33
[790] pix=55.29 sam=59.34 samrand=59.34
[800] pix=55.24 sam=59.28 samrand=59.28
[810] pix=55.13 sam=59.18 samrand=59.18
[820] pix=55.18 sam=59.18 samrand=59.18
[830] pix=55.09 sam=59.07 samrand=59.07
[840] pix=55.03 sam=59.00 samrand=59.00
[850] pix=55.03 sam=59.00 samrand=59.00
[860] pix=55.12 sam=59.08 samrand=59.08
[870] pix=55.25 sam=59.15 samrand=59.15
[880] pix=55.23 sam=59.15 samrand=59.15
[890] pix=55.12 sam=59.03 samrand=59.03
[900] pix=55.19 sam=59.10 samrand=59.10
[910] pix=55.27 sam=59.22 samrand=59.22
[920] pix=55.26 sam=59.22 samrand=59.22
[930] pix=55.26 sam=59.23 samrand=59.23
[940] pix=55.22 sam=59.14 samrand=59.14
[950] pix=55.32 sam=59.25 samrand=59.25
[960] pix=55.29 sam=59.27 samrand=59.27
[970] pix=55.42 sam=59.40 samrand=59.40
[980] pix=55.31 sam=59.28 samrand=59.28
[990] pix=55.32 sam=59.26 samrand=59.26
[1000] pix=55.43 sam=59.42 samrand=59.42
[1010] pix=55.48 sam=59.49 samrand=59.49
[1020] pix=55.56 sam=59.57 samrand=59.57
[1030] pix=55.62 sam=59.59 samrand=59.59
[1040] pix=55.61 sam=59.62 samrand=59.62
[1050] pix=55.61 sam=59.68 samrand=59.68
[1060] pix=55.63 sam=59.69 samrand=59.69
[1070] pix=55.73 sam=59.80 samrand=59.80
[1080] pix=55.90 sam=59.98 samrand=59.98
[1090] pix=55.93 sam=60.00 samrand=60.00
[1100] pix=55.93 sam=60.01 samrand=60.01
[1110] pix=55.90 sam=59.97 samrand=59.97
[1120] pix=55.92 sam=59.97 samrand=59.97
[1130] pix=55.92 sam=60.02 samrand=60.02
[1140] pix=55.92 sam=60.04 samrand=60.04
[1150] pix=55.95 sam=60.09 samrand=60.09
[1160] pix=55.94 sam=60.04 samrand=60.04
[1170] pix=55.98 sam=60.09 samrand=60.09
[1180] pix=56.04 sam=60.15 samrand=60.15
[1190] pix=56.13 sam=60.28 samrand=60.28
[1200] pix=56.02 sam=60.14 samrand=60.14
[1210] pix=56.03 sam=60.15 samrand=60.15
[1220] pix=56.01 sam=60.11 samrand=60.11
[1230] pix=55.94 sam=60.03 samrand=60.03
[1240] pix=55.96 sam=60.07 samrand=60.07
[1250] pix=55.91 sam=60.02 samrand=60.02
[1260] pix=55.88 sam=60.00 samrand=60.00
[1270] pix=55.81 sam=59.92 samrand=59.92
[1280] pix=55.81 sam=59.93 samrand=59.93
[1290] pix=55.74 sam=59.82 samrand=59.82
[1300] pix=55.76 sam=59.81 samrand=59.81
[1310] pix=55.70 sam=59.75 samrand=59.75
[1320] pix=55.60 sam=59.64 samrand=59.64
[1330] pix=55.59 sam=59.64 samrand=59.64
[1340] pix=55.62 sam=59.68 samrand=59.68
{
 "pix_vabs": 55.68,
 "sam_reg_vabs": 59.71,
 "sam_reg_rand": 59.71
}
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=50.91 sam=59.94 samrand=59.94
[20] pix=37.23 sam=44.76 samrand=44.76
[30] pix=36.45 sam=44.78 samrand=44.78
[40] pix=35.62 sam=44.19 samrand=44.19
[50] pix=38.63 sam=47.96 samrand=47.96
[60] pix=39.56 sam=49.88 samrand=49.88
[70] pix=40.65 sam=50.66 samrand=50.66
[80] pix=42.46 sam=51.92 samrand=51.92
[90] pix=42.12 sam=50.77 samrand=50.77
[100] pix=42.40 sam=50.93 samrand=50.93
[110] pix=42.52 sam=50.88 samrand=50.88
[120] pix=42.56 sam=50.84 samrand=50.84
[130] pix=42.33 sam=50.67 samrand=50.67
[140] pix=42.69 sam=51.12 samrand=51.12
[150] pix=42.88 sam=51.78 samrand=51.78
[160] pix=43.07 sam=51.96 samrand=51.96
[170] pix=42.85 sam=51.47 samrand=51.47
[180] pix=43.00 sam=51.22 samrand=51.22
[190] pix=43.38 sam=51.55 samrand=51.55
[200] pix=43.21 sam=51.53 samrand=51.53
[210] pix=43.43 sam=51.34 samrand=51.34
[220] pix=43.38 sam=51.37 samrand=51.37
[230] pix=43.46 sam=51.41 samrand=51.41
[240] pix=43.67 sam=51.95 samrand=51.95
[250] pix=43.68 sam=51.66 samrand=51.66
[260] pix=43.63 sam=51.48 samrand=51.48
[270] pix=44.00 sam=51.88 samrand=51.88
[280] pix=43.82 sam=51.64 samrand=51.64
[290] pix=43.55 sam=51.17 samrand=51.17
[300] pix=43.55 sam=51.15 samrand=51.15
[310] pix=43.43 sam=51.10 samrand=51.10
[320] pix=43.79 sam=51.40 samrand=51.40
[330] pix=44.01 sam=51.97 samrand=51.97
[340] pix=44.13 sam=52.22 samrand=52.22
[350] pix=44.05 sam=52.12 samrand=52.12
[360] pix=44.13 sam=52.12 samrand=52.12
[370] pix=44.21 sam=52.13 samrand=52.13
[380] pix=44.37 sam=52.28 samrand=52.28
[390] pix=44.66 sam=52.88 samrand=52.88
[400] pix=44.89 sam=53.21 samrand=53.21
[410] pix=44.61 sam=52.92 samrand=52.92
[420] pix=44.35 sam=52.54 samrand=52.54
[430] pix=44.57 sam=52.71 samrand=52.71
[440] pix=44.86 sam=53.16 samrand=53.16
[450] pix=44.65 sam=53.03 samrand=53.03
[460] pix=44.43 sam=52.82 samrand=52.82
[470] pix=44.30 sam=52.64 samrand=52.64
[480] pix=44.35 sam=52.71 samrand=52.71
[490] pix=44.44 sam=52.77 samrand=52.77
[500] pix=44.39 sam=52.77 samrand=52.77
[510] pix=44.31 sam=52.65 samrand=52.65
[520] pix=44.37 sam=52.75 samrand=52.75
[530] pix=44.54 sam=52.86 samrand=52.86
[540] pix=44.53 sam=52.84 samrand=52.84
[550] pix=44.60 sam=52.98 samrand=52.98
[560] pix=44.78 sam=53.14 samrand=53.14
[570] pix=44.80 sam=53.26 samrand=53.26
[580] pix=44.86 sam=53.41 samrand=53.41
[590] pix=44.96 sam=53.54 samrand=53.54
[600] pix=44.95 sam=53.58 samrand=53.58
[610] pix=44.96 sam=53.67 samrand=53.67
[620] pix=44.83 sam=53.56 samrand=53.56
[630] pix=44.88 sam=53.62 samrand=53.62
[640] pix=44.93 sam=53.81 samrand=53.81
[650] pix=45.00 sam=53.81 samrand=53.81
[660] pix=44.77 sam=53.57 samrand=53.57
[670] pix=44.69 sam=53.48 samrand=53.48
[680] pix=44.81 sam=53.68 samrand=53.68
[690] pix=44.77 sam=53.69 samrand=53.69
[700] pix=44.76 sam=53.80 samrand=53.80
[710] pix=44.83 sam=53.87 samrand=53.87
[720] pix=44.85 sam=53.93 samrand=53.93
[730] pix=44.83 sam=53.77 samrand=53.77
[740] pix=44.84 sam=53.77 samrand=53.77
[750] pix=44.99 sam=53.93 samrand=53.93
[760] pix=45.03 sam=53.97 samrand=53.97
[770] pix=44.98 sam=53.89 samrand=53.89
[780] pix=44.84 sam=53.99 samrand=53.99
[790] pix=44.87 sam=53.95 samrand=53.95
[800] pix=44.84 sam=53.91 samrand=53.91
[810] pix=44.70 sam=53.72 samrand=53.72
[820] pix=44.70 sam=53.68 samrand=53.68
[830] pix=44.65 sam=53.62 samrand=53.62
[840] pix=44.67 sam=53.72 samrand=53.72
[850] pix=44.72 sam=53.76 samrand=53.76
[860] pix=44.84 sam=53.88 samrand=53.88
[870] pix=44.86 sam=53.87 samrand=53.87
[880] pix=44.87 sam=53.89 samrand=53.89
[890] pix=44.80 sam=53.80 samrand=53.80
[900] pix=44.83 sam=53.93 samrand=53.93
[910] pix=44.84 sam=54.00 samrand=54.00
[920] pix=44.68 sam=53.90 samrand=53.90
[930] pix=44.68 sam=53.90 samrand=53.90
[940] pix=44.65 sam=53.86 samrand=53.86
[950] pix=44.71 sam=53.96 samrand=53.96
[960] pix=44.64 sam=53.69 samrand=53.69
[970] pix=44.68 sam=53.77 samrand=53.77
[980] pix=44.59 sam=53.73 samrand=53.73
[990] pix=44.59 sam=53.71 samrand=53.71
[1000] pix=44.60 sam=53.68 samrand=53.68
[1010] pix=44.66 sam=53.69 samrand=53.69
[1020] pix=44.73 sam=53.78 samrand=53.78
[1030] pix=44.78 sam=53.80 samrand=53.80
[1040] pix=44.80 sam=53.84 samrand=53.84
[1050] pix=44.79 sam=53.76 samrand=53.76
[1060] pix=44.76 sam=53.72 samrand=53.72
[1070] pix=44.84 sam=53.82 samrand=53.82
[1080] pix=45.01 sam=54.02 samrand=54.02
[1090] pix=45.04 sam=54.05 samrand=54.05
[1100] pix=45.00 sam=54.03 samrand=54.03
[1110] pix=45.02 sam=53.98 samrand=53.98
[1120] pix=45.01 sam=53.97 samrand=53.97
[1130] pix=45.00 sam=53.99 samrand=53.99
[1140] pix=44.98 sam=54.01 samrand=54.01
[1150] pix=44.99 sam=54.04 samrand=54.04
[1160] pix=44.91 sam=53.91 samrand=53.91
[1170] pix=44.94 sam=53.95 samrand=53.95
[1180] pix=44.94 sam=53.94 samrand=53.94
[1190] pix=44.99 sam=54.07 samrand=54.07
[1200] pix=44.92 sam=53.85 samrand=53.85
[1210] pix=44.93 sam=53.89 samrand=53.89
[1220] pix=44.96 sam=53.92 samrand=53.92
[1230] pix=44.94 sam=53.91 samrand=53.91
[1240] pix=44.99 sam=53.96 samrand=53.96
[1250] pix=44.93 sam=53.94 samrand=53.94
[1260] pix=44.92 sam=53.97 samrand=53.97
[1270] pix=44.82 sam=53.84 samrand=53.84
[1280] pix=44.85 sam=53.84 samrand=53.84
[1290] pix=44.71 sam=53.62 samrand=53.62
[1300] pix=44.72 sam=53.68 samrand=53.68
[1310] pix=44.67 sam=53.58 samrand=53.58
[1320] pix=44.65 sam=53.54 samrand=53.54
[1330] pix=44.62 sam=53.49 samrand=53.49
[1340] pix=44.65 sam=53.56 samrand=53.56
{
 "pix_vabs": 44.61,
 "sam_reg_vabs": 53.59,
 "sam_reg_rand": 53.59
}
OFF2_DONE
