/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=47.89 sam=51.66 samrand=51.66
[20] pix=35.04 sam=37.29 samrand=37.29
[30] pix=32.00 sam=34.54 samrand=34.54
[40] pix=29.58 sam=31.48 samrand=31.48
[50] pix=31.94 sam=33.85 samrand=33.85
[60] pix=32.47 sam=34.24 samrand=34.24
[70] pix=32.61 sam=33.21 samrand=33.21
[80] pix=33.89 sam=34.93 samrand=34.93
[90] pix=34.22 sam=35.04 samrand=35.04
[100] pix=34.40 sam=34.96 samrand=34.96
[110] pix=33.94 sam=34.76 samrand=34.76
[120] pix=33.65 sam=34.58 samrand=34.58
[130] pix=33.75 sam=34.83 samrand=34.83
[140] pix=33.99 sam=35.05 samrand=35.05
[150] pix=34.50 sam=35.96 samrand=35.96
[160] pix=34.35 sam=35.93 samrand=35.93
[170] pix=33.77 sam=35.11 samrand=35.11
[180] pix=34.29 sam=35.50 samrand=35.50
[190] pix=34.34 sam=35.57 samrand=35.57
[200] pix=34.30 sam=35.61 samrand=35.61
[210] pix=34.61 sam=35.92 samrand=35.92
[220] pix=34.73 sam=36.10 samrand=36.10
[230] pix=34.81 sam=36.20 samrand=36.20
[240] pix=34.89 sam=36.31 samrand=36.31
[250] pix=35.26 sam=36.70 samrand=36.70
[260] pix=35.17 sam=36.64 samrand=36.64
[270] pix=35.43 sam=36.91 samrand=36.91
[280] pix=35.18 sam=36.65 samrand=36.65
[290] pix=34.91 sam=36.30 samrand=36.30
[300] pix=34.75 sam=36.09 samrand=36.09
[310] pix=34.50 sam=35.91 samrand=35.91
[320] pix=34.55 sam=35.96 samrand=35.96
[330] pix=34.89 sam=36.55 samrand=36.55
[340] pix=34.91 sam=36.63 samrand=36.63
[350] pix=34.86 sam=36.47 samrand=36.47
[360] pix=34.80 sam=36.36 samrand=36.36
[370] pix=34.94 sam=36.45 samrand=36.45
[380] pix=34.93 sam=36.26 samrand=36.26
[390] pix=35.05 sam=36.46 samrand=36.46
[400] pix=35.11 sam=36.66 samrand=36.66
[410] pix=35.04 sam=36.57 samrand=36.57
[420] pix=34.95 sam=36.42 samrand=36.42
[430] pix=35.39 sam=36.80 samrand=36.80
[440] pix=35.68 sam=37.04 samrand=37.04
[450] pix=35.47 sam=36.82 samrand=36.82
[460] pix=35.36 sam=36.67 samrand=36.67
[470] pix=35.21 sam=36.52 samrand=36.52
[480] pix=35.28 sam=36.50 samrand=36.50
[490] pix=35.24 sam=36.49 samrand=36.49
[500] pix=35.21 sam=36.46 samrand=36.46
[510] pix=35.00 sam=36.42 samrand=36.42
[520] pix=35.06 sam=36.50 samrand=36.50
[530] pix=35.30 sam=36.70 samrand=36.70
[540] pix=35.11 sam=36.56 samrand=36.56
[550] pix=35.10 sam=36.56 samrand=36.56
[560] pix=35.23 sam=36.70 samrand=36.70
[570] pix=35.14 sam=36.64 samrand=36.64
[580] pix=35.02 sam=36.50 samrand=36.50
[590] pix=35.29 sam=36.75 samrand=36.75
[600] pix=35.23 sam=36.74 samrand=36.74
[610] pix=35.31 sam=36.73 samrand=36.73
[620] pix=35.24 sam=36.66 samrand=36.66
[630] pix=35.28 sam=36.71 samrand=36.71
[640] pix=35.25 sam=36.64 samrand=36.64
[650] pix=35.21 sam=36.60 samrand=36.60
[660] pix=34.97 sam=36.31 samrand=36.31
[670] pix=34.86 sam=36.21 samrand=36.21
[680] pix=35.02 sam=36.43 samrand=36.43
[690] pix=34.94 sam=36.39 samrand=36.39
[700] pix=34.95 sam=36.42 samrand=36.42
[710] pix=35.06 sam=36.50 samrand=36.50
[720] pix=35.08 sam=36.49 samrand=36.49
[730] pix=35.06 sam=36.44 samrand=36.44
[740] pix=35.04 sam=36.42 samrand=36.42
[750] pix=35.23 sam=36.60 samrand=36.60
[760] pix=35.29 sam=36.65 samrand=36.65
[770] pix=35.20 sam=36.53 samrand=36.53
[780] pix=35.18 sam=36.51 samrand=36.51
[790] pix=35.22 sam=36.51 samrand=36.51
[800] pix=35.12 sam=36.39 samrand=36.39
[810] pix=34.91 sam=36.21 samrand=36.21
[820] pix=34.97 sam=36.26 samrand=36.26
[830] pix=34.85 sam=36.10 samrand=36.10
[840] pix=34.76 sam=35.97 samrand=35.97
[850] pix=34.88 sam=36.10 samrand=36.10
[860] pix=34.93 sam=36.16 samrand=36.16
[870] pix=35.12 sam=36.26 samrand=36.26
[880] pix=35.12 sam=36.23 samrand=36.23
[890] pix=35.14 sam=36.24 samrand=36.24
[900] pix=35.19 sam=36.27 samrand=36.27
[910] pix=35.17 sam=36.27 samrand=36.27
[920] pix=35.29 sam=36.40 samrand=36.40
[930] pix=35.27 sam=36.37 samrand=36.37
[940] pix=35.19 sam=36.27 samrand=36.27
[950] pix=35.25 sam=36.33 samrand=36.33
[960] pix=35.26 sam=36.33 samrand=36.33
[970] pix=35.40 sam=36.43 samrand=36.43
[980] pix=35.47 sam=36.52 samrand=36.52
[990] pix=35.52 sam=36.56 samrand=36.56
[1000] pix=35.56 sam=36.65 samrand=36.65
[1010] pix=35.56 sam=36.65 samrand=36.65
[1020] pix=35.65 sam=36.75 samrand=36.75
[1030] pix=35.63 sam=36.73 samrand=36.73
[1040] pix=35.63 sam=36.72 samrand=36.72
[1050] pix=35.55 sam=36.64 samrand=36.64
[1060] pix=35.66 sam=36.74 samrand=36.74
[1070] pix=35.81 sam=36.89 samrand=36.89
[1080] pix=35.87 sam=36.94 samrand=36.94
[1090] pix=35.89 sam=36.96 samrand=36.96
[1100] pix=35.90 sam=37.00 samrand=37.00
[1110] pix=35.93 sam=36.99 samrand=36.99
[1120] pix=35.91 sam=36.97 samrand=36.97
[1130] pix=35.91 sam=36.97 samrand=36.97
[1140] pix=35.89 sam=36.97 samrand=36.97
[1150] pix=35.89 sam=36.95 samrand=36.95
[1160] pix=35.90 sam=36.92 samrand=36.92
[1170] pix=35.93 sam=36.96 samrand=36.96
[1180] pix=35.86 sam=36.90 samrand=36.90
[1190] pix=35.89 sam=36.93 samrand=36.93
[1200] pix=35.84 sam=36.89 samrand=36.89
[1210] pix=35.86 sam=36.90 samrand=36.90
[1220] pix=35.82 sam=36.83 samrand=36.83
[1230] pix=35.81 sam=36.81 samrand=36.81
[1240] pix=35.80 sam=36.80 samrand=36.80
[1250] pix=35.78 sam=36.77 samrand=36.77
[1260] pix=35.72 sam=36.69 samrand=36.69
