++ dirname queue_clean.sh
+ cd .
+ R=/media/dell/DATA/ovss/runs
+ CK=/media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth
+ PV=perturbed_vocabs
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant sclip --dataset voc21 --offset 0 --limit 100000 --skip-dev --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/clean_voc_sclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=55.32 sam=57.72 samrand=56.10
[20] pix=47.11 sam=49.63 samrand=45.86
[30] pix=45.91 sam=48.67 samrand=45.64
[40] pix=46.29 sam=50.99 samrand=48.37
[50] pix=50.30 sam=55.66 samrand=51.77
[60] pix=51.50 sam=57.60 samrand=53.03
[70] pix=50.62 sam=54.67 samrand=53.37
[80] pix=53.42 sam=57.35 samrand=53.83
[90] pix=53.90 sam=58.12 samrand=54.15
[100] pix=53.81 sam=57.86 samrand=54.37
[110] pix=53.88 sam=57.81 samrand=53.94
[120] pix=54.01 sam=57.92 samrand=54.30
[130] pix=54.53 sam=58.66 samrand=54.48
[140] pix=54.29 sam=58.30 samrand=54.42
[150] pix=53.77 sam=57.59 samrand=54.35
[160] pix=53.84 sam=57.60 samrand=54.32
[170] pix=53.17 sam=56.79 samrand=53.42
[180] pix=53.72 sam=57.40 samrand=53.66
[190] pix=54.23 sam=57.85 samrand=54.21
[200] pix=54.41 sam=58.12 samrand=54.49
[210] pix=54.24 sam=57.89 samrand=54.32
[220] pix=54.06 sam=57.66 samrand=54.36
[230] pix=54.03 sam=57.63 samrand=54.04
[240] pix=54.05 sam=57.77 samrand=53.77
[250] pix=54.13 sam=57.66 samrand=54.05
[260] pix=53.90 sam=57.35 samrand=53.28
[270] pix=54.40 sam=57.85 samrand=53.88
[280] pix=54.14 sam=57.58 samrand=53.72
[290] pix=53.71 sam=57.16 samrand=53.46
[300] pix=53.62 sam=57.04 samrand=53.28
[310] pix=53.50 sam=56.86 samrand=53.29
[320] pix=53.69 sam=56.82 samrand=53.54
[330] pix=54.11 sam=57.20 samrand=53.91
[340] pix=54.45 sam=57.51 samrand=54.37
[350] pix=54.34 sam=57.32 samrand=54.45
[360] pix=54.43 sam=57.44 samrand=54.15
[370] pix=54.56 sam=57.44 samrand=54.08
[380] pix=54.68 sam=57.55 samrand=54.25
[390] pix=54.98 sam=57.81 samrand=54.69
[400] pix=55.21 sam=58.05 samrand=54.84
[410] pix=55.07 sam=57.90 samrand=54.36
[420] pix=54.79 sam=57.64 samrand=54.00
[430] pix=55.36 sam=58.22 samrand=54.57
[440] pix=55.84 sam=58.91 samrand=55.06
[450] pix=55.76 sam=58.92 samrand=55.00
[460] pix=55.35 sam=58.33 samrand=54.49
[470] pix=55.29 sam=58.26 samrand=54.32
[480] pix=55.34 sam=58.37 samrand=54.34
[490] pix=55.41 sam=58.46 samrand=54.48
[500] pix=55.45 sam=58.48 samrand=54.47
[510] pix=55.28 sam=58.21 samrand=54.24
[520] pix=55.28 sam=58.25 samrand=54.25
[530] pix=55.52 sam=58.47 samrand=54.45
[540] pix=55.52 sam=58.52 samrand=54.54
[550] pix=55.56 sam=58.67 samrand=54.57
[560] pix=55.73 sam=58.84 samrand=54.78
[570] pix=55.77 sam=58.79 samrand=54.68
[580] pix=55.79 sam=58.80 samrand=54.67
[590] pix=56.07 sam=59.10 samrand=54.92
[600] pix=56.02 sam=59.11 samrand=54.87
[610] pix=55.98 sam=59.00 samrand=54.80
[620] pix=55.86 sam=58.87 samrand=54.76
[630] pix=55.82 sam=58.83 samrand=54.70
[640] pix=55.90 sam=58.96 samrand=54.50
[650] pix=55.91 sam=58.94 samrand=54.49
[660] pix=55.65 sam=58.70 samrand=54.32
[670] pix=55.56 sam=58.58 samrand=54.15
[680] pix=55.79 sam=59.01 samrand=54.55
[690] pix=55.83 sam=59.03 samrand=54.62
[700] pix=55.89 sam=59.12 samrand=54.61
[710] pix=55.91 sam=59.21 samrand=54.61
[720] pix=55.96 sam=59.33 samrand=54.71
[730] pix=55.80 sam=59.12 samrand=54.58
[740] pix=55.66 sam=58.84 samrand=54.38
[750] pix=55.81 sam=59.01 samrand=54.54
[760] pix=55.77 sam=58.94 samrand=54.54
[770] pix=55.70 sam=58.88 samrand=54.50
