+ R=/media/dell/DATA/ovss/runs
+ CK=/media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth
+ PV=perturbed_vocabs
+ for M in sclip naclip
+ python probe_d1sam.py --variant sclip --dataset voc21 --offset 0 --limit 100000 --vabs-vocab perturbed_vocabs/voc21_official.json --rand-vocab perturbed_vocabs/voc21_official.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/full_voc_sclip_official.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=58.90 sam=62.62 samrand=62.62
[20] pix=49.17 sam=52.11 samrand=52.11
[30] pix=47.17 sam=49.61 samrand=49.61
[40] pix=48.00 sam=52.92 samrand=52.92
[50] pix=51.00 sam=56.21 samrand=56.21
[60] pix=52.06 sam=58.23 samrand=58.23
[70] pix=54.76 sam=59.92 samrand=59.92
[80] pix=55.73 sam=60.40 samrand=60.40
[90] pix=54.95 sam=59.79 samrand=59.79
[100] pix=55.00 sam=59.73 samrand=59.73
[110] pix=54.94 sam=59.50 samrand=59.50
[120] pix=54.96 sam=59.58 samrand=59.58
[130] pix=55.41 sam=60.42 samrand=60.42
[140] pix=55.40 sam=60.27 samrand=60.27
[150] pix=55.66 sam=60.56 samrand=60.56
[160] pix=55.96 sam=60.79 samrand=60.79
[170] pix=54.95 sam=59.38 samrand=59.38
[180] pix=55.30 sam=59.70 samrand=59.70
[190] pix=55.72 sam=60.15 samrand=60.15
[200] pix=55.69 sam=60.17 samrand=60.17
[210] pix=55.47 sam=59.84 samrand=59.84
[220] pix=55.56 sam=59.89 samrand=59.89
[230] pix=55.46 sam=59.77 samrand=59.77
[240] pix=55.77 sam=60.14 samrand=60.14
[250] pix=55.96 sam=60.18 samrand=60.18
[260] pix=55.71 sam=59.88 samrand=59.88
[270] pix=56.20 sam=60.38 samrand=60.38
[280] pix=55.97 sam=60.11 samrand=60.11
[290] pix=55.56 sam=59.45 samrand=59.45
[300] pix=55.42 sam=59.27 samrand=59.27
[310] pix=55.36 sam=59.18 samrand=59.18
[320] pix=55.23 sam=59.22 samrand=59.22
[330] pix=55.42 sam=59.52 samrand=59.52
[340] pix=55.22 sam=59.28 samrand=59.28
[350] pix=55.41 sam=59.46 samrand=59.46
[360] pix=55.17 sam=59.17 samrand=59.17
[370] pix=54.84 sam=58.80 samrand=58.80
[380] pix=54.40 sam=58.35 samrand=58.35
[390] pix=54.37 sam=58.30 samrand=58.30
[400] pix=54.55 sam=58.55 samrand=58.55
[410] pix=54.39 sam=58.35 samrand=58.35
[420] pix=54.58 sam=58.48 samrand=58.48
[430] pix=54.85 sam=58.96 samrand=58.96
[440] pix=54.84 sam=58.86 samrand=58.86
[450] pix=54.81 sam=58.80 samrand=58.80
[460] pix=54.74 sam=58.70 samrand=58.70
[470] pix=54.84 sam=58.76 samrand=58.76
[480] pix=55.01 sam=58.92 samrand=58.92
[490] pix=55.34 sam=59.37 samrand=59.37
[500] pix=55.61 sam=59.72 samrand=59.72
[510] pix=55.50 sam=59.60 samrand=59.60
[520] pix=55.11 sam=58.98 samrand=58.98
[530] pix=55.41 sam=59.19 samrand=59.19
[540] pix=55.82 sam=59.62 samrand=59.62
[550] pix=55.70 sam=59.57 samrand=59.57
[560] pix=55.47 sam=59.32 samrand=59.32
[570] pix=55.38 sam=59.21 samrand=59.21
[580] pix=55.44 sam=59.30 samrand=59.30
[590] pix=55.54 sam=59.38 samrand=59.38
[600] pix=55.50 sam=59.34 samrand=59.34
[610] pix=55.43 sam=59.51 samrand=59.51
[620] pix=55.66 sam=59.80 samrand=59.80
[630] pix=55.97 sam=60.07 samrand=60.07
[640] pix=55.98 sam=60.08 samrand=60.08
[650] pix=56.01 sam=60.11 samrand=60.11
[660] pix=56.04 sam=60.07 samrand=60.07
[670] pix=56.03 sam=60.13 samrand=60.13
[680] pix=56.12 sam=60.25 samrand=60.25
[690] pix=56.28 sam=60.42 samrand=60.42
[700] pix=56.27 sam=60.44 samrand=60.44
[710] pix=56.37 sam=60.52 samrand=60.52
[720] pix=56.28 sam=60.43 samrand=60.43
[730] pix=56.28 sam=60.47 samrand=60.47
[740] pix=56.34 sam=60.55 samrand=60.55
[750] pix=56.39 sam=60.60 samrand=60.60
[760] pix=56.10 sam=60.23 samrand=60.23
[770] pix=56.08 sam=60.19 samrand=60.19
[780] pix=56.28 sam=60.46 samrand=60.46
[790] pix=56.31 sam=60.47 samrand=60.47
[800] pix=56.37 sam=60.54 samrand=60.54
[810] pix=56.46 sam=60.69 samrand=60.69
[820] pix=56.46 sam=60.67 samrand=60.67
[830] pix=56.34 sam=60.50 samrand=60.50
[840] pix=56.36 sam=60.52 samrand=60.52
[850] pix=56.58 sam=60.68 samrand=60.68
[860] pix=56.53 sam=60.63 samrand=60.63
[870] pix=56.49 sam=60.56 samrand=60.56
[880] pix=56.48 sam=60.63 samrand=60.63
[890] pix=56.53 sam=60.64 samrand=60.64
[900] pix=56.45 sam=60.54 samrand=60.54
[910] pix=56.34 sam=60.44 samrand=60.44
[920] pix=56.39 sam=60.46 samrand=60.46
[930] pix=56.36 sam=60.43 samrand=60.43
[940] pix=56.34 sam=60.42 samrand=60.42
[950] pix=56.42 sam=60.49 samrand=60.49
[960] pix=56.54 sam=60.61 samrand=60.61
[970] pix=56.67 sam=60.71 samrand=60.71
[980] pix=56.64 sam=60.70 samrand=60.70
[990] pix=56.59 sam=60.61 samrand=60.61
[1000] pix=56.64 sam=60.67 samrand=60.67
[1010] pix=56.67 sam=60.74 samrand=60.74
[1020] pix=56.64 sam=60.70 samrand=60.70
[1030] pix=56.63 sam=60.70 samrand=60.70
[1040] pix=56.58 sam=60.62 samrand=60.62
[1050] pix=56.67 sam=60.72 samrand=60.72
[1060] pix=56.57 sam=60.61 samrand=60.61
[1070] pix=56.67 sam=60.74 samrand=60.74
[1080] pix=56.62 sam=60.72 samrand=60.72
[1090] pix=56.64 sam=60.71 samrand=60.71
[1100] pix=56.74 sam=60.89 samrand=60.89
[1110] pix=56.79 sam=60.93 samrand=60.93
[1120] pix=56.85 sam=60.98 samrand=60.98
[1130] pix=56.87 sam=61.01 samrand=61.01
[1140] pix=56.86 sam=61.04 samrand=61.04
[1150] pix=56.88 sam=61.09 samrand=61.09
[1160] pix=56.87 sam=61.07 samrand=61.07
