++ dirname queue_full.sh
+ cd .
+ R=/media/dell/DATA/ovss/runs
+ CK=/media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth
+ PV=perturbed_vocabs
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant sclip --dataset voc21 --offset 0 --limit 100000 --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/full_voc_sclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=55.32 sam=57.72 samrand=56.10
[20] pix=47.11 sam=49.63 samrand=45.86
[30] pix=45.91 sam=48.67 samrand=45.64
[40] pix=46.29 sam=50.99 samrand=48.37
[50] pix=50.30 sam=55.66 samrand=51.77
[60] pix=51.50 sam=57.60 samrand=53.03
[70] pix=50.62 sam=54.67 samrand=53.37
[80] pix=53.42 sam=57.35 samrand=53.83
[90] pix=53.90 sam=58.12 samrand=54.15
[100] pix=53.81 sam=57.86 samrand=54.37
[110] pix=53.88 sam=57.81 samrand=53.94
[120] pix=54.01 sam=57.92 samrand=54.30
[130] pix=54.53 sam=58.66 samrand=54.48
[140] pix=54.29 sam=58.30 samrand=54.42
[150] pix=53.77 sam=57.59 samrand=54.35
[160] pix=53.84 sam=57.60 samrand=54.32
[170] pix=53.17 sam=56.79 samrand=53.42
[180] pix=53.72 sam=57.40 samrand=53.66
[190] pix=54.23 sam=57.85 samrand=54.21
[200] pix=54.41 sam=58.12 samrand=54.49
[210] pix=54.24 sam=57.89 samrand=54.32
[220] pix=54.06 sam=57.66 samrand=54.36
[230] pix=54.03 sam=57.63 samrand=54.04
[240] pix=54.05 sam=57.77 samrand=53.77
[250] pix=54.13 sam=57.66 samrand=54.05
[260] pix=53.90 sam=57.35 samrand=53.28
[270] pix=54.40 sam=57.85 samrand=53.88
[280] pix=54.14 sam=57.58 samrand=53.72
[290] pix=53.71 sam=57.16 samrand=53.46
[300] pix=53.62 sam=57.04 samrand=53.28
[310] pix=53.78 sam=57.33 samrand=53.18
[320] pix=53.78 sam=57.46 samrand=53.13
[330] pix=53.79 sam=57.52 samrand=53.19
[340] pix=53.50 sam=57.20 samrand=52.97
[350] pix=53.69 sam=57.39 samrand=53.11
[360] pix=53.37 sam=56.99 samrand=52.96
[370] pix=53.01 sam=56.58 samrand=52.71
[380] pix=52.93 sam=56.60 samrand=52.48
[390] pix=52.99 sam=56.75 samrand=52.49
[400] pix=53.20 sam=57.03 samrand=52.69
[410] pix=53.06 sam=56.82 samrand=52.66
[420] pix=53.24 sam=56.80 samrand=52.88
[430] pix=53.55 sam=57.06 samrand=53.19
[440] pix=53.79 sam=57.26 samrand=53.54
[450] pix=53.73 sam=57.12 samrand=53.63
[460] pix=53.79 sam=57.19 samrand=53.36
[470] pix=53.92 sam=57.21 samrand=53.35
[480] pix=54.09 sam=57.39 samrand=53.54
[490] pix=54.31 sam=57.56 samrand=53.88
[500] pix=54.54 sam=57.80 samrand=54.05
[510] pix=54.49 sam=57.72 samrand=53.70
[520] pix=54.24 sam=57.47 samrand=53.37
[530] pix=54.74 sam=57.97 samrand=53.85
[540] pix=55.16 sam=58.55 samrand=54.31
[550] pix=55.10 sam=58.56 samrand=54.27
[560] pix=54.81 sam=58.12 samrand=53.92
[570] pix=54.79 sam=58.08 samrand=53.80
[580] pix=54.84 sam=58.17 samrand=53.82
[590] pix=54.91 sam=58.26 samrand=53.95
[600] pix=54.93 sam=58.27 samrand=53.92
[610] pix=54.79 sam=58.02 samrand=53.75
[620] pix=54.81 sam=58.07 samrand=53.77
[630] pix=55.01 sam=58.27 samrand=53.95
[640] pix=55.02 sam=58.31 samrand=54.03
[650] pix=55.07 sam=58.45 samrand=54.09
[660] pix=55.23 sam=58.60 samrand=54.28
[670] pix=55.25 sam=58.53 samrand=54.20
[680] pix=55.29 sam=58.57 samrand=54.19
[690] pix=55.51 sam=58.81 samrand=54.40
[700] pix=55.47 sam=58.81 samrand=54.34
[710] pix=55.45 sam=58.75 samrand=54.30
[720] pix=55.34 sam=58.63 samrand=54.26
[730] pix=55.31 sam=58.60 samrand=54.21
[740] pix=55.39 sam=58.72 samrand=54.04
[750] pix=55.38 sam=58.66 samrand=54.01
[760] pix=55.18 sam=58.48 samrand=53.88
[770] pix=55.12 sam=58.38 samrand=53.76
