/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
shard 0 written (500/8000)
shard 1 written (1000/8000)
shard 2 written (1500/8000)
shard 3 written (2000/8000)
shard 4 written (2500/8000)
shard 5 written (3000/8000)
shard 6 written (3500/8000)
shard 7 written (4000/8000)
shard 8 written (4500/8000)
shard 9 written (5000/8000)
shard 10 written (5500/8000)
shard 11 written (6000/8000)
shard 12 written (6500/8000)
shard 13 written (7000/8000)
shard 14 written (7500/8000)
shard 15 written (8000/8000)
